高新区新会展盛南领地精装跃层套三|268|132|盛南领地|3室1厅
高新芳草，彩虹街小区，清水房。|83|56|彩虹街2号|2室1厅
英郡一期 板式套三双卫 满五年 大阳台正看江景|338|147|英郡一期|3室2厅
高新区中和 金桂花园 跃层 带花园带平台 出售|256|199|金桂花园|4室3厅
高新新会展 龙湖世纪峰景 清水套四 看公园 看龙泉山|470|175|龙湖世纪峰景|4室2厅
南城都汇汇翠园 标准套四 正对小区中庭|433|228|南城都汇汇翠园一期|4室2厅
南三环美洲花园城南公馆套三双卫通透户型客厅大阳台|245|133|美洲花园城南公馆|3室2厅
天府世家经典户型，居家精装，拎包入住。满两年省税费|600|135|天府世家|5室2厅
神仙树大院二期套二朝南有阳台随时可看|255|88|神仙树大院二期|2室1厅
龙湖套三双卫俯瞰天鹅湖花园远眺环球|360|127|龙湖世纪峰景|3室1厅
四季家园 低楼层 居家装修 套三房主自荐|192|113|四季家园|3室2厅
小套二，位置安静，拎包入住，英伦风小区|150|61|中德英伦联邦A区|2室2厅
清水四房 客厅西北朝向  采光视野好 主卧室看沿河公园|348|126|建发中央鹭洲|4室1厅
蒂梵尼标准套二，带装修，无增值税房主自荐|169|79|蒂梵尼TOWN|2室1厅
软件园 清水套三 户型方正 满两年|205|89|英郡三期|3室1厅
套三+书房+双卫+客厅有阳台+东南朝向|398|146|长城半岛城邦三期|3室1厅
高新区神仙树馨苑套二有装修，可以拎包入住|98|55|神仙树馨苑|2室1厅
誉峰一期3+1户型中间楼层 安静视野好|600|192|誉峰一期|3室2厅
龙湖世纪峰景 高楼层 大平层 带阳台|750|378|龙湖世纪峰景|4室2厅
保利心语花园二期跃层大户型，对中庭，采光好|445|141|保利心语花园二期|5室1厅
清水房，可以按自己想法装修，满二|234|89|中德英伦联邦A区|3室2厅
神仙树大院二期  清水房 套四三卫  中间楼层。房主自荐|548|177|神仙树大院二期|4室2厅
天府欣苑西区，套四双卫纯清水  有钥匙 随时实地看房|500|189|天府欣苑西区|4室2厅
中海兰庭 满五唯一 套四三卫 居家装修|430|89|中海兰庭|4室2厅
御府花都套三双卫 客厅有阳台 有装修|280|130|御府花都|3室2厅
远大都市风景五期，精装跃层住宅，可看江景房主自荐|155|61|远大都市风景五期|2室1厅
美洲花园棕榈湾套二   有装修   带家具家电|150|79|美洲花园棕榈湾|2室1厅
中海城南一号四房 清水 高楼层南北通透|680|185|中海城南一号一期|4室2厅
城南名著 套三 有装修 有家具家电 带双阳台 接受贷款|180|98|城南名著|3室2厅
红树湾出租套三 客厅带阳台 主卧带阳台|235|114|红树湾|3室2厅
套二 装修 天鹅湖 高新世纪城新会展|261|124|天鹅湖北苑|2室1厅
远大都市风景四期装修套二，带阳光房|175|74|远大都市风景四期|2室2厅
东苑F区 精装套二 全新未住人 位置安静|250|86|东苑F区|2室2厅
时代晶科名苑，         有装修   套二户型房主自荐|285|115|时代晶科名苑|2室2厅
保利心语花园三期    跃层带花园|532|134|保利心语花园三期|4室2厅
南城都汇汇尚园+朝南+中间楼层+安静|360|137|南城都汇汇尚园|3室1厅
此房满两年，没有增值税，带车库|500|4|南郡七英里|联排别墅
军安卫士花园套三出售，朝南，双卫。|225|124|军安卫士花园|3室2厅
清水房，满两年。中间楼层，套三双卫， 采光充足|240|119|英郡一期|3室2厅
满2年   空房出售  开发商装修  有车位价格另外算|606|203|誉峰一期|4室2厅
南苑小区B区 南北向 套四三卫|658|203|南苑小区B区|4室2厅
华润凤凰城一期 两室两厅 对中庭 有装修|235|88|华润凤凰城一期|2室2厅
户型方正，带露台，带装修带家具家电出售。房主自荐|140|74|鸿阁一号|2室2厅
紫荆巷56号院 多层中层 有装修 标准套二|106|73|紫荆巷56号院|2室1厅
南城都汇汇雅园，横厅套二，前后带花园|215|86|南城都汇汇雅园二期|2室2厅
天鹅湖花园 四室两卫 有阳台 平层|505|298|天鹅湖花园|4室2厅
套三单卫，户型方正，装修房，客厅带阳台，次卧阳台。|210|104|远大都市风景四期|3室1厅
融城理想套四+花园+地下室+阳台+南北朝向|350|170|融城理想|4室2厅
天鹅湖花园 通透套四 朝中庭看湖区带大阳台|500|283|天鹅湖花园|4室2厅
清水两居室，满2年，没有增值税|295|95|仁和春天国际花园|2室1厅
标准套二，对中庭，简单装修，满两年。。。。。|150|77|城南晶座|2室2厅
朝南套二 省增值税 赠送入户 位置朝南 无遮挡采光好|238|92|南城都汇汇翠园一期|2室1厅
华润凤凰城一期 位置安静 户型通透 采光好 有装修|360|132|华润凤凰城一期|3室2厅
南苑小区 视野开阔 看公园 采光充足 位置安静 有车位|780|203|南苑小区B区|4室2厅
高新区+美洲花园棕榈湾+精装修套三+不临街+无增值税|165|88|美洲花园棕榈湾|3室2厅
鑫阳花园     套三双卫       带装修|150|107|鑫阳花园|3室2厅
高新 新北 润新花园二期 中间楼层 有装修|105|66|润新花园二期|2室2厅
中海翠屏湾 居家装修 安静套二房主自荐|208|81|中海翠屏湾|2室2厅
英郡三期装修套二 客厅和主卧正看江 有阳台 有飘窗|208|79|英郡三期|2室1厅
天府长城嘉南地   精装全新没住过  南北通透|338|130|天府长城嘉南地|3室2厅
中间位置不临街 南北朝向 客厅带阳台 带入户花园|425|166|神仙树大院二期|4室2厅
中海翠屏湾 居家装修 安静套二房主自荐|208|81|中海翠屏湾|2室2厅
天府长城嘉南地   精装全新没住过  南北通透|338|130|天府长城嘉南地|3室2厅
紫竹苑 套三双卫 多层3楼 一梯二户|220|138|紫竹苑|3室1厅
大平层  安静  前后中庭  看绿化|930|239|中海城南一号一期|5室2厅
龙湖世纪峰景套四双卫看锦江看公园视野好|480|175|龙湖世纪峰景|4室2厅
英郡三期 带装修套二带书房 可做套三|225|88|英郡三期|3室1厅
清水套二，中间楼层视野好没有遮挡|200|81|英郡三期|2室1厅
英郡三期装修套二 客厅和主卧正看江 有阳台 有飘窗|208|79|英郡三期|2室1厅
赠送大套三双卫户型方正采光好随时入住|318|116|东苑F区|3室2厅
两室一厅采光好长阳台可以看天鹅湖|180|87|天鹅湖北苑|2室1厅
皇   城花卉+套三双卫带车位+纯清水+交通便利|350|139|皇城花卉|3室2厅
软件园――远大四期居家套二，朝东，不临街！房主自荐|165|74|远大都市风景四期|2室2厅
时代晶科名苑  套三  清水  双卫房主自荐|353|143|时代晶科名苑|3室2厅
南三环内七号线，居家套二，业主换房诚售|168|77|锦尚天华|2室1厅
保利心语花园 看中庭视野好  位置安静|387|137|保利心语花园二期|3室2厅
保利心语花园  标准套三  满两年  朝南新上|295|100|保利心语花园三期|3室2厅
开发商精装修，套三，视野好看天鹅湖花园。|355|128|成都棕榈泉国际中心|3室1厅
银都花园框架结构5楼3居，板式结构，值得拥有。|275|135|银都花园欣苑五期|3室2厅
白云巷2号，户型方正，不临街.中间楼层|101|67|白云巷2号|2室1厅
世纪欣园，清水套四，南北朝向，适合住家|410|198|世纪欣园|4室2厅
都会路苑，套三双卫，户型方正，对中庭安静|230|114|都会路苑|3室1厅
仁和春天 套三双卫，竖厅设计，朝向东南。房主自荐|480|157|仁和春天国际花园|3室2厅
芳草牡丹御园 套三双卫 户型通透带双阳台！|172|115|牡丹御园|3室2厅
南苑小区B区 套四 三卫  低楼层 有车位房主自荐|650|203|南苑小区B区|4室2厅
南城都汇四期清水套二   对小区看水景|229|88|南城都汇汇尚园|2室2厅
火车南站中海翠屏湾两室两厅出售|125|74|中海翠屏湾|2室1厅
南城都汇汇馨园清水套二，中庭位置，安静，采光视野好|205|89|南城都汇汇馨园三期|2室2厅
瑞升花园 电梯套三 户型方正 采光充足|230|133|瑞升花园|3室2厅
套三双卫 客厅朝南带阳台 有居家装修 对小区中庭|275|124|天府长城柏南郡|3室2厅
